company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,postcode,region,accounts_type,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,has_https,prospect_score,priority_tier,ml_probability,score_industry,score_company_age,score_company_size,score_geography,score_web_presence,reason_industry,reason_company_age,reason_company_size,reason_geography,reason_web_presence
Info UK,13674015,ltd,active,46900,Wholesale & Retail,2018-04-06,7.8,E14 3CS,London,total-exemption-small,2,1,1,1,24,335,7,True,6,2,True,True,81.44,Hot,,61.43,100.0,93.33,46.74,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 7.8 years (target: 7-29),Optimal officers: 2; Good filing history: 24; Has credit charges (established),Region: London,Has website with HTTPS
WEG Industries,09775941,ltd,active,62012,Information & Communication,2013-08-28,12.4,CT1 5EP,Kent,total-exemption-full,7,3,1,1,33,240,11,False,0,4,True,True,81.4,Hot,,54.17,100.0,100.0,51.47,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 12.4 years (target: 7-29),Optimal officers: 7; Good filing history: 33,Region: Kent,Has website with HTTPS
Atlas Innovations,15659526,ltd,active,55201,Accommodation & Food,2017-11-22,8.2,WS1 8BU,West Midlands,small,3,2,2,1,16,374,5,False,0,4,True,True,81.29,Hot,,61.36,100.0,100.0,28.85,100.0,Accommodation & Food: lift ratio 1.07x,Optimal age: 8.2 years (target: 7-29),Optimal officers: 3; Good filing history: 16,Region: West Midlands,Has website with HTTPS
KPL Print,NI934042,ltd,active,55209,Accommodation & Food,2006-12-21,19.1,WR1 6YS,West Midlands,total-exemption-full,4,2,1,0,49,379,16,False,0,3,True,True,81.29,Hot,,61.36,100.0,100.0,28.85,100.0,Accommodation & Food: lift ratio 1.07x,Optimal age: 19.1 years (target: 7-29),Optimal officers: 4; Good filing history: 49,Region: West Midlands,Has website with HTTPS
Evans & Jones Industries,14898877,ltd,active,62090,Information & Communication,2013-09-25,12.4,BN1 2RK,Brighton,small,7,5,2,0,30,220,10,False,0,1,True,True,81.25,Hot,,54.17,100.0,100.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 12.4 years (target: 7-29),Optimal officers: 7; Good filing history: 30,Region: Brighton,Has website with HTTPS
Info Communications,14223547,ltd,active,62020,Information & Communication,2012-11-12,13.2,LU1 3RV,East of England,total-exemption-full,7,2,2,1,45,371,13,False,0,3,True,True,81.25,Hot,,54.17,100.0,100.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 13.2 years (target: 7-29),Optimal officers: 7; Good filing history: 45,Region: East of England,Has website with HTTPS
Peak Properties,06508733,ltd,active,69102,Professional Services,2016-11-01,9.3,EH1 2FY,Edinburgh,small,3,1,1,1,35,325,9,False,0,3,True,True,81.18,Hot,,52.73,100.0,100.0,53.57,100.0,Professional Services: lift ratio 0.92x,Optimal age: 9.3 years (target: 7-29),Optimal officers: 3; Good filing history: 35,Region: Edinburgh,Has website with HTTPS
XLM Design,10870187,ltd,active,68100,Real Estate,2024-10-22,1.3,SY1 9EU,Shrewsbury,total-exemption-small,2,1,1,1,1,46,0,False,0,4,True,True,81.15,Hot,,78.26,71.5,93.5,50.0,100.0,Real Estate: lift ratio 1.37x,Young company: 1.3 years,Optimal officers: 2; Limited history: 1 filings,Region: Shrewsbury,Has website with HTTPS
Diamond Systems,10792396,ltd,active,82990,Administrative Services,2018-03-14,7.9,TS1 8EG,Teesside,total-exemption-full,6,4,2,1,22,299,7,True,4,3,True,False,81.04,Hot,,69.64,100.0,93.33,50.0,78.74,Administrative Services: lift ratio 1.22x,Optimal age: 7.9 years (target: 7-29),Optimal officers: 6; Good filing history: 22; Has credit charges (established),Region: Teesside,Has website
Roberts & Thompson Creative,12804503,ltd,active,82920,Administrative Services,2022-04-11,3.8,WA1 3SL,Warrington,micro-entity,1,1,1,0,10,99,3,False,0,3,True,True,80.94,Hot,,69.64,84.0,93.0,50.0,100.0,Administrative Services: lift ratio 1.22x,Young company: 3.8 years,Small team: 1 officers; Limited history: 10 filings,Region: Warrington,Has website with HTTPS
Info Industries,11085488,ltd,active,47710,Wholesale & Retail,2021-08-15,4.5,NN1 9MM,Northampton,total-exemption-full,5,3,1,0,14,14,4,False,0,2,True,True,80.93,Hot,,61.43,87.5,100.0,50.0,100.0,Wholesale & Retail: lift ratio 1.08x,Young company: 4.5 years,Optimal officers: 5; Good filing history: 14,Region: Northampton,Has website with HTTPS
BLE Creative,SC580614,ltd,active,47710,Wholesale & Retail,2011-03-01,14.9,TA1 4SS,Taunton,total-exemption-full,1,1,1,1,36,151,12,True,5,1,True,True,80.93,Hot,,61.43,100.0,90.0,50.0,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 14.9 years (target: 7-29),Small team: 1 officers; Good filing history: 36; Has credit charges (established),Region: Taunton,Has website with HTTPS
Rapid Group,04340845,ltd,active,58110,Information & Communication,2018-05-10,7.7,N4 7YF,London,total-exemption-full,3,1,1,0,22,85,7,False,0,1,True,True,80.92,Hot,,54.17,100.0,100.0,46.74,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 7.7 years (target: 7-29),Optimal officers: 3; Good filing history: 22,Region: London,Has website with HTTPS
GDF Innovations,11519814,ltd,active,62011,Information & Communication,2019-02-21,7.0,E1 4GE,London,small,3,1,1,0,27,287,6,False,0,1,True,True,80.92,Hot,,54.17,100.0,100.0,46.74,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 7.0 years (target: 7-29),Optimal officers: 3; Good filing history: 27,Region: London,Has website with HTTPS
Evans & Johnson Capital,07855353,ltd,active,71111,Professional Services,2013-05-08,12.7,NR1 2HU,Norwich,medium,7,2,2,0,34,39,11,False,0,1,True,True,80.82,Hot,,52.73,100.0,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Optimal age: 12.7 years (target: 7-29),Optimal officers: 7; Good filing history: 34,Region: Norwich,Has website with HTTPS
UCX Trading,08704520,ltd,active,70229,Professional Services,2002-03-30,23.8,BA1 9MT,Bath,total-exemption-small,3,2,1,0,57,377,19,False,0,3,True,True,80.82,Hot,,52.73,100.0,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Optimal age: 23.8 years (target: 7-29),Optimal officers: 3; Good filing history: 57,Region: Bath,Has website with HTTPS
Swift Management,09427608,ltd,active,73120,Professional Services,1997-11-13,28.2,DN1 3LE,Doncaster,small,5,1,1,1,67,319,22,False,0,4,True,True,80.82,Hot,,52.73,100.0,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Optimal age: 28.2 years (target: 7-29),Optimal officers: 5; Good filing history: 67,Region: Doncaster,Has website with HTTPS
KHA Solutions,02852723,ltd,active,71200,Professional Services,2010-12-23,15.1,LU1 5WW,East of England,total-exemption-full,6,2,1,0,55,303,15,False,0,4,True,True,80.82,Hot,,52.73,100.0,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Optimal age: 15.1 years (target: 7-29),Optimal officers: 6; Good filing history: 55,Region: East of England,Has website with HTTPS
Sterling Print,13984216,llp,active,74100,Professional Services,2013-10-10,12.3,TQ1 5WY,Torquay,total-exemption-full,4,1,1,0,43,207,12,False,0,4,True,True,80.82,Hot,,52.73,100.0,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Optimal age: 12.3 years (target: 7-29),Optimal officers: 4; Good filing history: 43,Region: Torquay,Has website with HTTPS
Johnson & Thomas Creative,08165791,ltd,active,10710,Manufacturing,2018-05-03,7.8,BT9 7DJ,Belfast,total-exemption-small,1,1,1,1,29,338,7,False,0,1,True,False,80.76,Hot,,67.33,100.0,95.0,50.0,78.74,Manufacturing: lift ratio 1.18x,Optimal age: 7.8 years (target: 7-29),Small team: 1 officers; Good filing history: 29,Region: Belfast,Has website
Net Innovations,09802658,ltd,active,63990,Information & Communication,2020-11-23,5.2,L1 1XK,Liverpool,dormant,1,1,1,0,20,223,5,False,0,4,True,True,80.7,Hot,,54.17,91.0,95.0,75.0,100.0,Information & Communication: lift ratio 0.95x,Young company: 5.2 years,Small team: 1 officers; Good filing history: 20,Region: Liverpool (high-value area),Has website with HTTPS
Davies & Williams Trading,SC170394,other,active,62020,Information & Communication,2004-02-10,22.0,SE1 9LN,London,total-exemption-full,8,5,2,0,86,56,21,False,0,1,True,True,80.67,Hot,,54.17,100.0,99.0,46.74,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 22.0 years (target: 7-29),Large org: 8 officers; Good filing history: 86,Region: London,Has website with HTTPS
Core Limited,04527197,ltd,active,14190,Manufacturing,2022-12-09,3.2,RG1 2EK,Reading,micro-entity,2,1,1,0,8,166,2,False,0,4,True,True,80.65,Hot,,67.33,81.0,97.0,50.0,100.0,Manufacturing: lift ratio 1.18x,Young company: 3.2 years,Optimal officers: 2; Limited history: 8 filings,Region: Reading,Has website with HTTPS
Express LLP,10450458,ltd,active,82990,Administrative Services,2023-02-15,3.0,EC1A 1GS,London,total-exemption-full,4,2,2,1,6,14,2,False,0,2,True,True,80.57,Hot,,69.64,80.0,96.0,46.74,100.0,Administrative Services: lift ratio 1.22x,Young company: 3.0 years,Optimal officers: 4; Limited history: 6 filings,Region: London,Has website with HTTPS
Direct Associates,06540252,other,active,62012,Information & Communication,1999-03-12,26.9,CF1 9JN,Cardiff,total-exemption-full,1,1,1,0,71,378,23,False,0,1,True,True,80.56,Hot,,54.17,100.0,95.0,55.56,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 26.9 years (target: 7-29),Small team: 1 officers; Good filing history: 71,Region: Cardiff,Has website with HTTPS
Walker & Thomas Print,14388732,ltd,active,70229,Professional Services,2021-06-17,4.6,KT1 5WT,Surrey,total-exemption-small,3,1,1,1,14,246,4,False,0,2,True,True,80.56,Hot,,52.73,88.0,100.0,71.43,100.0,Professional Services: lift ratio 0.92x,Young company: 4.6 years,Optimal officers: 3; Good filing history: 14,Region: Surrey,Has website with HTTPS
Smith & Evans Capital,07168777,ltd,active,14190,Manufacturing,2022-03-07,3.9,E1 3SM,London,dormant,1,1,1,0,16,90,3,False,0,3,True,True,80.52,Hot,,67.33,84.5,95.0,46.74,100.0,Manufacturing: lift ratio 1.18x,Young company: 3.9 years,Small team: 1 officers; Good filing history: 16,Region: London,Has website with HTTPS
Smith & Evans Innovations,10915993,ltd,active,45111,Wholesale & Retail,2017-05-26,8.7,DT1 8PA,Dorset,small,2,1,1,1,20,381,6,False,0,4,True,True,80.51,Hot,,61.43,100.0,100.0,20.83,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 8.7 years (target: 7-29),Optimal officers: 2; Good filing history: 20,Region: Dorset,Has website with HTTPS
Titan Properties,10887153,ltd,active,74209,Professional Services,2016-10-21,9.3,SE10 9GG,London,small,6,3,3,1,29,331,9,False,0,1,True,True,80.49,Hot,,52.73,100.0,100.0,46.74,100.0,Professional Services: lift ratio 0.92x,Optimal age: 9.3 years (target: 7-29),Optimal officers: 6; Good filing history: 29,Region: London,Has website with HTTPS
West International,07399154,ltd,active,70100,Professional Services,2013-08-09,12.5,NW3 8KF,London,total-exemption-full,4,2,2,1,52,228,12,False,0,1,True,True,80.49,Hot,,52.73,100.0,100.0,46.74,100.0,Professional Services: lift ratio 0.92x,Optimal age: 12.5 years (target: 7-29),Optimal officers: 4; Good filing history: 52,Region: London,Has website with HTTPS
GBV Engineering,02869519,ltd,active,49320,Transportation,2018-12-15,7.1,LS1 9VP,Leeds,dormant,1,1,1,0,22,182,7,True,2,3,True,True,80.45,Hot,,50.0,100.0,90.0,79.55,100.0,Unknown industry,Optimal age: 7.1 years (target: 7-29),Small team: 1 officers; Good filing history: 22; Has credit charges (established),Region: Leeds (high-value area),Has website with HTTPS
ZAN Trading,13260745,ltd,active,55900,Accommodation & Food,1989-10-24,36.3,SW1 8TK,London,small,6,3,2,0,116,79,36,False,0,4,True,True,80.37,Hot,,61.36,92.7,95.0,46.74,100.0,Accommodation & Food: lift ratio 1.07x,Established: 36.3 years,Optimal officers: 6; Extensive history: 116 filings,Region: London,Has website with HTTPS
Crystal PLC,07934046,private-unlimited,active,71121,Professional Services,2019-08-23,6.5,YO1 7NM,York,total-exemption-full,3,2,1,1,24,179,6,False,0,4,True,True,80.32,Hot,,52.73,97.5,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Young company: 6.5 years,Optimal officers: 3; Good filing history: 24,Region: York,Has website with HTTPS
Thompson & Wright Services,04746911,ltd,active,55100,Accommodation & Food,2021-12-30,4.1,NP1 4VW,Newport,micro-entity,2,1,1,0,12,334,4,False,0,1,True,True,80.26,Hot,,61.36,85.5,99.0,50.0,100.0,Accommodation & Food: lift ratio 1.07x,Young company: 4.1 years,Optimal officers: 2; Limited history: 12 filings,Region: Newport,Has website with HTTPS
United International,11246494,ltd,active,18129,Manufacturing,1999-06-04,26.7,BB1 6JH,Lancashire,full,9,5,1,0,82,330,26,False,0,4,True,False,80.26,Hot,,67.33,100.0,98.0,37.5,78.74,Manufacturing: lift ratio 1.18x,Optimal age: 26.7 years (target: 7-29),Large org: 9 officers; Good filing history: 82,Region: Lancashire,Has website
Walker & Thompson Print,SC465004,ltd,active,47990,Wholesale & Retail,2009-12-10,16.2,LU1 5GB,East of England,total-exemption-full,3,1,1,0,46,187,15,False,0,3,True,False,80.24,Hot,,61.43,100.0,100.0,50.0,78.74,Wholesale & Retail: lift ratio 1.08x,Optimal age: 16.2 years (target: 7-29),Optimal officers: 3; Good filing history: 46,Region: East of England,Has website
North Resources,09294125,ltd,active,45200,Wholesale & Retail,2004-04-09,21.8,WV1 9WY,Wolverhampton,small,6,2,2,1,44,234,14,False,0,1,True,False,80.24,Hot,,61.43,100.0,100.0,50.0,78.74,Wholesale & Retail: lift ratio 1.08x,Optimal age: 21.8 years (target: 7-29),Optimal officers: 6; Good filing history: 44,Region: Wolverhampton,Has website
Global Industries,11949490,ltd,active,71122,Professional Services,2022-08-04,3.5,SW1 2UF,London,total-exemption-full,5,2,1,0,6,92,2,False,0,1,True,True,80.17,Hot,,66.67,82.5,96.0,46.74,100.0,SIC 71122: high-value indicator,Young company: 3.5 years,Optimal officers: 5; Limited history: 6 filings,Region: London,Has website with HTTPS
Wilson & Brown Associates,11858638,llp,active,70210,Professional Services,2015-02-25,10.9,HD1 3AX,Huddersfield,total-exemption-full,10,5,4,1,27,334,9,False,0,1,True,True,80.07,Hot,,52.73,100.0,97.0,50.0,100.0,Professional Services: lift ratio 0.92x,Optimal age: 10.9 years (target: 7-29),Large org: 10 officers; Good filing history: 27,Region: Huddersfield,Has website with HTTPS
United Development,05806467,ltd,active,56210,Accommodation & Food,1986-07-16,39.6,BN1 4SN,Brighton,full,4,1,1,0,137,331,39,False,0,4,True,True,80.04,Hot,,61.36,89.4,95.0,50.0,100.0,Accommodation & Food: lift ratio 1.07x,Established: 39.6 years,Optimal officers: 4; Extensive history: 137 filings,Region: Brighton,Has website with HTTPS
Roberts & Johnson Resources,03920363,ltd,active,25990,Manufacturing,2001-06-18,24.6,NW3 3HD,London,small,3,1,1,0,71,174,23,True,5,1,True,False,80.02,Hot,,67.33,100.0,93.33,46.74,78.74,Manufacturing: lift ratio 1.18x,Optimal age: 24.6 years (target: 7-29),Optimal officers: 3; Good filing history: 71; Has credit charges (established),Region: London,Has website
Thompson & Wilson Industries,15642075,ltd,active,64209,Finance,2016-03-14,9.9,DE1 6UB,Derby,small,6,2,2,0,30,353,9,False,0,2,True,True,80.0,Hot,,50.0,100.0,100.0,50.0,100.0,Unknown industry,Optimal age: 9.9 years (target: 7-29),Optimal officers: 6; Good filing history: 30,Region: Derby,Has website with HTTPS
Nova Resources,10206441,ltd,active,62090,Information & Communication,2017-02-14,9.0,LN1 8HW,East Midlands,total-exemption-small,1,1,1,0,35,249,8,False,0,2,True,True,80.0,Hot,,54.17,100.0,95.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 9.0 years (target: 7-29),Small team: 1 officers; Good filing history: 35,Region: East Midlands,Has website with HTTPS
Evans & Wright Resources,13458503,ltd,active,63120,Information & Communication,2009-03-27,16.9,NR1 2KK,Norwich,total-exemption-small,1,1,1,0,49,38,16,False,0,3,True,True,80.0,Hot,,54.17,100.0,95.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 16.9 years (target: 7-29),Small team: 1 officers; Good filing history: 49,Region: Norwich,Has website with HTTPS
PVR Capital,02258048,private-limited-guarant-nsc,active,46410,Wholesale & Retail,2004-09-27,21.4,WA1 5UM,Warrington,total-exemption-full,8,5,2,0,71,94,21,False,0,4,True,False,79.99,Hot,,61.43,100.0,99.0,50.0,78.74,Wholesale & Retail: lift ratio 1.08x,Optimal age: 21.4 years (target: 7-29),Large org: 8 officers; Good filing history: 71,Region: Warrington,Has website
ESJ Engineering,02476481,ltd,active,47110,Wholesale & Retail,2021-04-18,4.8,TQ1 8BY,Torquay,micro-entity,1,1,1,0,14,234,4,False,0,2,True,True,79.98,Hot,,61.43,89.0,95.0,50.0,100.0,Wholesale & Retail: lift ratio 1.08x,Young company: 4.8 years,Small team: 1 officers; Good filing history: 14,Region: Torquay,Has website with HTTPS
SZL Logistics,01139836,ltd,active,56210,Accommodation & Food,2006-07-06,19.6,W1 2JX,London,total-exemption-full,4,1,1,0,49,265,16,False,0,2,True,False,79.89,Hot,,61.36,100.0,100.0,46.74,78.74,Accommodation & Food: lift ratio 1.07x,Optimal age: 19.6 years (target: 7-29),Optimal officers: 4; Good filing history: 49,Region: London,Has website
Summit Group,08375236,private-limited-guarant-nsc,active,68100,Real Estate,2009-04-14,16.8,EH1 6RC,Edinburgh,total-exemption-full,3,1,1,0,38,145,12,False,0,1,False,False,79.84,Hot,,78.26,100.0,100.0,53.57,40.0,Real Estate: lift ratio 1.37x,Optimal age: 16.8 years (target: 7-29),Optimal officers: 3; Good filing history: 38,Region: Edinburgh,No website detected
OQZ Trading,01499339,other,active,63990,Information & Communication,2022-04-01,3.8,GU1 2GR,Surrey,total-exemption-small,3,1,1,0,11,236,3,False,0,2,True,True,79.82,Hot,,54.17,84.0,98.5,71.43,100.0,Information & Communication: lift ratio 0.95x,Young company: 3.8 years,Optimal officers: 3; Limited history: 11 filings,Region: Surrey,Has website with HTTPS
West UK,04151566,ltd,active,86220,Health,1991-07-27,34.5,KT1 4VX,Surrey,total-exemption-full,2,1,1,1,128,45,34,False,0,2,True,True,79.79,Hot,,50.0,94.5,95.0,71.43,100.0,Unknown industry,Established: 34.5 years,Optimal officers: 2; Extensive history: 128 filings,Region: Surrey,Has website with HTTPS
Swift Partners,01547061,ltd,active,45111,Wholesale & Retail,2019-01-30,7.0,CH1 8GR,Cheshire,medium,4,3,3,0,23,392,7,False,0,2,True,False,79.79,Hot,,61.43,100.0,100.0,45.45,78.74,Wholesale & Retail: lift ratio 1.08x,Optimal age: 7.0 years (target: 7-29),Optimal officers: 4; Good filing history: 23,Region: Cheshire,Has website
Atlas LLP,02716680,ltd,active,45200,Wholesale & Retail,2000-08-08,25.5,HD1 2MX,Huddersfield,small,9,5,3,0,72,74,24,False,0,4,True,False,79.74,Hot,,61.43,100.0,98.0,50.0,78.74,Wholesale & Retail: lift ratio 1.08x,Optimal age: 25.5 years (target: 7-29),Large org: 9 officers; Good filing history: 72,Region: Huddersfield,Has website
North Ltd,13492244,ltd,active,22290,Manufacturing,2021-03-21,4.9,SL1 1UE,Berkshire,total-exemption-full,4,2,1,0,18,191,4,False,0,2,False,False,79.73,Hot,,77.78,89.5,100.0,75.0,40.0,SIC 22290: high-value indicator,Young company: 4.9 years,Optimal officers: 4; Good filing history: 18,Region: Berkshire (high-value area),No website detected
City PLC,11975992,ltd,active,56302,Accommodation & Food,2021-03-23,4.9,TS1 4LN,Teesside,micro-entity,2,1,1,0,15,82,4,False,0,2,True,False,79.71,Hot,,66.67,89.5,100.0,50.0,78.74,SIC 56302: high-value indicator,Young company: 4.9 years,Optimal officers: 2; Good filing history: 15,Region: Teesside,Has website
DUW Holdings,15851429,llp,active,81210,Administrative Services,2024-04-19,1.8,SG1 2VU,East of England,small,6,4,3,1,6,333,1,False,0,4,True,True,79.69,Hot,,69.64,74.0,96.0,50.0,100.0,Administrative Services: lift ratio 1.22x,Young company: 1.8 years,Optimal officers: 6; Limited history: 6 filings,Region: East of England,Has website with HTTPS
Cyber Design,10369856,ltd,active,45111,Wholesale & Retail,2017-06-11,8.6,NG1 4VS,Nottingham,small,6,4,1,0,22,395,7,False,0,1,True,True,79.68,Hot,,61.43,100.0,100.0,12.5,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 8.6 years (target: 7-29),Optimal officers: 6; Good filing history: 22,Region: Nottingham,Has website with HTTPS
Thompson & Davies Development,14956963,other,active,45200,Wholesale & Retail,2019-09-11,6.4,ST1 7SB,Staffordshire,micro-entity,3,1,1,0,22,386,6,False,0,3,True,False,79.64,Hot,,61.43,97.0,100.0,50.0,78.74,Wholesale & Retail: lift ratio 1.08x,Young company: 6.4 years,Optimal officers: 3; Good filing history: 22,Region: Staffordshire,Has website
First PLC,03242783,ltd,active,45111,Wholesale & Retail,1998-08-10,27.5,DY1 7DS,West Midlands,total-exemption-full,9,6,1,0,95,212,27,False,0,4,True,True,79.56,Hot,,61.43,100.0,93.0,28.85,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 27.5 years (target: 7-29),Large org: 9 officers; Extensive history: 95 filings,Region: West Midlands,Has website with HTTPS
Swift Development,13643208,ltd,active,43220,Construction,2023-03-29,2.9,PE1 2MU,Peterborough,total-exemption-full,4,2,1,1,3,287,1,False,0,1,True,True,79.53,Hot,,66.67,79.5,94.5,50.0,100.0,SIC 43220: high-value indicator,Young company: 2.9 years,Optimal officers: 4; Limited history: 3 filings,Region: Peterborough,Has website with HTTPS
HIN Design,06639317,ltd,active,82990,Administrative Services,2017-03-30,8.8,OX1 7BG,Oxford,small,5,1,1,1,27,352,8,False,0,4,False,False,79.39,Hot,,69.64,100.0,100.0,75.0,40.0,Administrative Services: lift ratio 1.22x,Optimal age: 8.8 years (target: 7-29),Optimal officers: 5; Good filing history: 27,Region: Oxford (high-value area),No website detected
Golden PLC,12875600,ltd,active,86220,Health,2019-10-08,6.3,BT5 3EY,Belfast,total-exemption-small,2,1,1,0,24,333,6,False,0,1,True,True,79.3,Hot,,50.0,96.5,100.0,50.0,100.0,Unknown industry,Young company: 6.3 years,Optimal officers: 2; Good filing history: 24,Region: Belfast,Has website with HTTPS
Green Management,07986351,other,active,47910,Wholesale & Retail,2020-11-21,5.2,DY1 8PD,West Midlands,total-exemption-small,2,1,1,1,12,49,4,False,0,2,True,True,79.26,Hot,,61.43,91.0,99.0,28.85,100.0,Wholesale & Retail: lift ratio 1.08x,Young company: 5.2 years,Optimal officers: 2; Limited history: 12 filings,Region: West Midlands,Has website with HTTPS
CDP Manufacturing,11602444,ltd,active,73120,Professional Services,2007-10-13,18.3,NW3 6EE,London,micro-entity,1,1,1,0,61,273,18,False,0,2,True,True,79.24,Hot,,52.73,100.0,95.0,46.74,100.0,Professional Services: lift ratio 0.92x,Optimal age: 18.3 years (target: 7-29),Small team: 1 officers; Good filing history: 61,Region: London,Has website with HTTPS
Thompson & Roberts Trading,03158613,private-limited-guarant-nsc,active,69102,Professional Services,1989-02-24,36.9,BN1 5SW,Brighton,total-exemption-full,6,4,3,1,82,59,27,False,0,4,True,True,79.24,Hot,,52.73,92.1,100.0,50.0,100.0,Professional Services: lift ratio 0.92x,Established: 36.9 years,Optimal officers: 6; Good filing history: 82,Region: Brighton,Has website with HTTPS
FEI Logistics,03448380,ltd,active,68100,Real Estate,2015-03-14,10.9,EC1A 3PR,London,full,5,1,1,0,28,42,9,False,0,2,False,False,79.15,Hot,,78.26,100.0,100.0,46.74,40.0,Real Estate: lift ratio 1.37x,Optimal age: 10.9 years (target: 7-29),Optimal officers: 5; Good filing history: 28,Region: London,No website detected
Eco Group,08672579,ltd,active,58110,Information & Communication,2016-05-02,9.8,DY1 3LR,West Midlands,total-exemption-full,5,2,2,0,39,299,9,False,0,4,True,True,79.13,Hot,,54.17,100.0,100.0,28.85,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 9.8 years (target: 7-29),Optimal officers: 5; Good filing history: 39,Region: West Midlands,Has website with HTTPS
Diamond Systems,13253748,ltd,active,49420,Transportation,2012-02-18,14.0,KT1 1WS,Surrey,medium,4,1,1,1,44,92,13,False,0,2,True,False,78.95,Hot,,50.0,100.0,100.0,71.43,78.74,Unknown industry,Optimal age: 14.0 years (target: 7-29),Optimal officers: 4; Good filing history: 44,Region: Surrey,Has website
South Industries,08959326,ltd,active,70100,Professional Services,2020-08-27,5.4,NW3 1WF,London,total-exemption-full,2,1,1,0,25,264,5,False,0,2,True,True,78.89,Hot,,52.73,92.0,100.0,46.74,100.0,Professional Services: lift ratio 0.92x,Young company: 5.4 years,Optimal officers: 2; Good filing history: 25,Region: London,Has website with HTTPS
Nova Technologies,11638720,ltd,active,81210,Administrative Services,2022-09-06,3.4,AB1 5PF,Aberdeen,total-exemption-full,4,2,1,1,12,69,3,False,0,4,True,False,78.85,Hot,,69.64,82.0,99.0,50.0,78.74,Administrative Services: lift ratio 1.22x,Young company: 3.4 years,Optimal officers: 4; Limited history: 12 filings,Region: Aberdeen,Has website
Pro Construction,14380399,ltd,active,62012,Information & Communication,2021-07-05,4.6,DL1 1DC,Darlington,small,4,1,1,1,16,186,4,False,0,2,True,True,78.85,Hot,,54.17,88.0,100.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Young company: 4.6 years,Optimal officers: 4; Good filing history: 16,Region: Darlington,Has website with HTTPS
Evans & Thompson Construction,13492201,ltd,active,01130,Agriculture,2024-03-10,1.9,CM1 5HU,Chelmsford,medium,4,1,1,0,9,181,1,True,2,3,False,False,78.82,Hot,,100.0,74.5,91.67,50.0,40.0,Agriculture: lift ratio 1.75x,Young company: 1.9 years,Optimal officers: 4; Limited history: 9 filings; Has credit charges (established),Region: Chelmsford,No website detected
Metro UK,NI435169,ltd,active,63120,Information & Communication,2021-04-06,4.8,WA1 7XX,Warrington,micro-entity,3,2,1,0,12,196,4,False,0,2,True,True,78.8,Hot,,54.17,89.0,99.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Young company: 4.8 years,Optimal officers: 3; Limited history: 12 filings,Region: Warrington,Has website with HTTPS
Wilson & Roberts Resources,03938131,ltd,active,47110,Wholesale & Retail,2025-01-31,1.0,LS1 4TY,Leeds,micro-entity,3,2,2,0,1,222,0,False,0,2,True,True,78.76,Hot,,61.43,70.0,93.5,79.55,100.0,Wholesale & Retail: lift ratio 1.08x,Young company: 1.0 years,Optimal officers: 3; Limited history: 1 filings,Region: Leeds (high-value area),Has website with HTTPS
Nexus Associates,14106915,ltd,active,56102,Accommodation & Food,2022-10-12,3.3,LE1 9AN,Leicester,total-exemption-small,3,1,1,0,13,343,3,False,0,1,True,True,78.75,Hot,,61.36,81.5,99.5,41.67,100.0,Accommodation & Food: lift ratio 1.07x,Young company: 3.3 years,Optimal officers: 3; Limited history: 13 filings,Region: Leicester,Has website with HTTPS
GPD Properties,10907333,ltd,active,63110,Information & Communication,2008-05-14,17.7,LU1 9HV,East of England,total-exemption-full,1,1,1,0,61,399,17,True,8,3,True,True,78.75,Hot,,54.17,100.0,90.0,50.0,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 17.7 years (target: 7-29),Small team: 1 officers; Good filing history: 61; Has credit charges (established),Region: East of England,Has website with HTTPS
