company,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type
Central Systems,AKT 727,07027865,ltd,active,22290,Manufacturing,2009-09-23,16.4,North Yorkshire,total-exemption-full
CZW,Central Design,06401432,ltd,active,82990,Administrative Services,2007-10-17,18.3,Berks,unaudited-abridged
DeltaPrin,RON,02627406,ltd,active,27510,Manufacturing,1991-07-08,34.6,Wiltshire,full
QuantumSign,Precision Communications 429,08928522,ltd,active,62020,Information & Communication,2014-03-07,11.9,London,micro-entity
Belfast Enterprises,ApexWork,08445954,ltd,active,"18121,18129,18130,18140",Manufacturing,2013-03-14,12.9,Kettering,unaudited-abridged
Baker & Jones,Prime Packaging,08206812,ltd,dissolved,18129,Manufacturing,2012-09-07,13.4,London,total-exemption-small
BetaProd,Rapid Works,08026437,ltd,dissolved,74909,Professional Services,2012-04-11,13.8,London,total-exemption-small
Walker & Thomas,Glasgow Associates 748,12342891,ltd,active,"74901,82920",Professional Services,2019-12-02,6.2,Oxfordshire,micro-entity
PhoenixHold 749,Hall & Edwards,10082745,ltd,active,64209,Financial Services,2016-03-24,9.9,Milton Keynes,group
Central Holdings,Rapid Labels,OC451623,llp,active,,,2024-03-28,1.9,Greater London,
Atlantic Labels,Evans & Wilson 145,09568174,ltd,active,62012,Information & Communication,2015-04-29,10.8,London,micro-entity
RoyalGrou,SouthernSyst,03456272,ltd,dissolved,63990,Information & Communication,1997-10-28,28.3,Hampshire,micro-entity
Urban International,Jones & Baker,09021750,ltd,active,99999,International Organisations,2014-05-01,11.8,Chelmsford,dormant
Vector Works,Vanguard Industries 765,01293983,ltd,active,"22290,25990",Manufacturing,1977-01-13,49.1,North Yorkshire,full
Apex Services,IHMQ 768,04127111,ltd,active,18129,Manufacturing,2000-12-18,25.1,Essex,total-exemption-full
Metro Marketing,Morgan & Roberts,16111505,ltd,active,"46390,47110,47620,47650",Wholesale & Retail,2024-12-02,1.2,Scarborough,
BetaDisp,Rapid Enterprises 079,15059857,ltd,dissolved,96090,Other Services,2023-08-09,2.5,London,micro-entity
EasternServ,Nottingham Solutions,06667885,ltd,active,56302,Accommodation & Food,2008-08-08,17.5,East Yorkshire,micro-entity
Atlantic Graphics,SHFF,02149681,ltd,active,18129,Manufacturing,1987-07-23,38.5,London,total-exemption-full
Nottingham Display,"EMTONE PRINTING SERVICES,LIMITED",00784164,ltd,dissolved,18129,Manufacturing,1963-12-11,62.1,Bath,total-exemption-full
TLTJ 778,Dynamic Display,14714903,ltd,active,90010,Arts & Entertainment,2023-03-08,2.9,Bridgend,micro-entity
AWYR,AtlanticCrea,15423965,ltd,active,"27900,71129",Manufacturing,2024-01-18,2.0,Thirsk,dormant
Smith & Evans,Cardiff Graphics,08024351,ltd,dissolved,99999,International Organisations,2012-04-10,13.8,Manchester,total-exemption-full
Jackson & Mitchell,Walker & Wright,12731496,ltd,dissolved,87900,Health & Social,2020-07-09,5.6,Essex,null
Bristol Communications,Bristol Print,03513763,ltd,active,18129,Manufacturing,1998-02-19,28.0,Wiltshire,full
Leicester Communications,DENV 792,13510155,ltd,dissolved,93199,Arts & Entertainment,2021-07-14,4.6,Hemel Hempstead,dormant
NS,Pacific Signs,12780105,ltd,dissolved,18129,Manufacturing,2020-07-30,5.5,Greater London,null
Pacific Media,Pacific Signs,12780105,ltd,dissolved,18129,Manufacturing,2020-07-30,5.5,Greater London,null
Edinburgh International,WesternPack,08112353,ltd,active,73120,Professional Services,2012-06-20,13.6,Milton Keynes,micro-entity
Harris & Thompson 814,AHZ,08818692,ltd,active,61900,Information & Communication,2013-12-18,12.1,Portsmouth,micro-entity
Vertex Print,JHD,12090544,ltd,active,86102,Health & Social,2019-07-08,6.6,York,micro-entity
Glasgow Design,Rapid Industries,14632978,ltd,active,"74100,82920",Professional Services,2023-02-01,3.0,Belper,total-exemption-full
ApexAsso,Norwich Media,10785773,ltd,active,28250,Manufacturing,2017-05-23,8.7,Herts,micro-entity
Premier Creative 831,Continental Partners,14992080,ltd,dissolved,56290,Accommodation & Food,2023-07-10,2.6,Sheffield,
Southampton Media,Quantum Technologies,11236023,ltd,active,96090,Other Services,2018-03-06,7.9,Newport,micro-entity
HP,Pacific Industries 840,10774716,ltd,dissolved,25110,Manufacturing,2017-05-17,8.7,Oxon,micro-entity
Mega Holdings,Coastal Packaging 842,02425001,ltd,active,18129,Manufacturing,1989-09-21,36.4,"Watford, Hertfordshire",total-exemption-full
Oxford Solutions 843,Hall & Smith,03886746,ltd,active,58142,Information & Communication,1999-12-01,26.2,Hampshire,total-exemption-full
YFU,Hall & Smith,03886746,ltd,active,58142,Information & Communication,1999-12-01,26.2,Hampshire,total-exemption-full
Wilson & Martin,Bristol Packaging,10071850,ltd,dissolved,69201,Professional Services,2016-03-18,9.9,Surrey,
Continental Packaging,Rapid Display,16255085,ltd,active,"49320,52213",Transport & Storage,2025-02-16,1.0,Basingstoke,
Oxford Marketing,TR,03895468,ltd,dissolved,7499,Professional Services,1999-12-16,26.1,London,dormant
KAZS,Cardiff Media,15426298,ltd,dissolved,96020,Other Services,2024-01-19,2.0,Goole,
Pro Enterprises,CCF,09041131,ltd,active,99999,International Organisations,2014-05-15,11.7,Rochester,dormant
Pro International,Portsmouth Design 171,15615732,ltd,active,"47721,47722,47799,47910",Wholesale & Retail,2024-04-04,1.8,London,dormant
Morgan & Walker,CCF,09041131,ltd,active,99999,International Organisations,2014-05-15,11.7,Rochester,dormant
National Works,Clarke & Green,12338061,ltd,active,"18129,18140,82920",Manufacturing,2019-11-28,6.2,Frinton-On-Sea,micro-entity
Summit Display,Atlantic Media,12028385,ltd,active,69102,Professional Services,2019-06-03,6.7,Blackburn,total-exemption-full
Beta Creative,Western Signs,00864353,ltd,active,32990,Manufacturing,1965-11-18,60.2,Bucks,total-exemption-full
Prime Systems,SuperiorDisp,03565856,ltd,active,82990,Administrative Services,1998-05-18,27.7,Cheshire,total-exemption-full
Vector Solutions 870,GEEO,05656615,ltd,dissolved,7487,Professional Services,2005-12-16,20.1,Leeds,total-exemption-small
Max Labels,GlobalProd 874,06933996,ltd,active,82990,Administrative Services,2009-06-15,16.6,Wiltshire,total-exemption-full
Bristol Systems,Coastal Works,12814249,ltd,active,"52290,86900,88100,96090",Transport & Storage,2020-08-14,5.5,London,micro-entity
Lee & Taylor,Oxford Solutions,11837484,ltd,active,86900,Health & Social,2019-02-20,7.0,Sheffield,micro-entity
Titan Signs,Max Display,16992022,ltd,active,43290,Construction,2026-01-27,0.0,Milton Keynes,
York Packaging 881,Cardiff Manufacturing,01114482,ltd,active,18129,Manufacturing,1973-05-18,52.7,Essex,total-exemption-full
CDDH,AlphaAsso,SC591256,ltd,active,18129,Manufacturing,2018-03-13,7.9,Glasgow,total-exemption-full
Glasgow Enterprises 886,Urban Labels,09697854,ltd,active,64999,Financial Services,2015-07-22,10.5,London,micro-entity
Flex Communications,Johnson & Allen 413,13456329,ltd,dissolved,96090,Other Services,2021-06-15,4.6,Birmingham,null
EHEV 889,Baker & Wright,03282374,ltd,active,70229,Professional Services,1996-11-18,29.2,Banbury,medium
DVZ,,,,,,,,,,
White & Clarke 892,PremierSolu,12449171,ltd,dissolved,96090,Other Services,2020-02-07,6.0,London,micro-entity
Summit Works,Prime Partners,02945091,ltd,active,18129,Manufacturing,1994-07-04,31.6,Herts,total-exemption-full
Northern Solutions,ExpressTech,06015124,ltd,dissolved,70229,Professional Services,2006-11-30,19.2,East Sussex,dormant
PremierComm,Cambridge Design,00294244,ltd,active,17219,Manufacturing,1934-11-20,91.2,Milton Keynes,small
Norwich Graphics,Continental Design 902,04848577,ltd,active,68209,Real Estate,2003-07-29,22.5,Cottingham,total-exemption-full
Martin & Morgan,Prime Signs,13203302,ltd,dissolved,03210,Agriculture,2021-02-16,5.0,Cornwall,total-exemption-full
VanguardTech,CG,08913366,ltd,active,59120,Information & Communication,2014-02-26,11.9,East Sussex,dormant
Cardiff Systems,White & Davies,16204113,ltd,active,43220,Construction,2025-01-23,1.0,Peterborough,
Lee & Evans,VectorGrap,06870586,ltd,dissolved,35230,Energy,2009-04-06,16.8,London,total-exemption-small
Liverpool Industries 911,MegaServ 166,08611678,ltd,active,99999,International Organisations,2013-07-16,12.6,Hampshire,dormant
HGW,VDTK,02578872,ltd,active,18129,Manufacturing,1991-01-31,35.0,Hertfordshire,total-exemption-full
Eastern Group 915,UltraPack,13201889,ltd,dissolved,99999,International Organisations,2021-02-15,5.0,Essex,null
Elite Technologies,Brown & Jackson,04666966,ltd,active,43390,Construction,2003-02-14,23.0,Dorset,total-exemption-full
Metro Signs,PWW,SL033246,limited-partnership,active,,,2018-09-14,7.4,Edinburgh,
National Holdings,Wright & Baker,07207590,ltd,active,18129,Manufacturing,2010-03-30,15.8,Hertfordshire,total-exemption-full
Continental Services 924,OAK 553,15644294,ltd,dissolved,18129,Manufacturing,2024-04-14,1.8,Brighton,
Bradford Associates,Precision Print,07823001,ltd,active,43220,Construction,2011-10-25,14.3,Essex,micro-entity
Express Creative,Southampton Industries,LP008444,limited-partnership,active,,,2002-12-06,23.2,,
DeltaGrap,Leicester Holdings,06879934,ltd,active,96020,Other Services,2009-04-17,16.8,Calne,micro-entity
Flex Signs,Glasgow Services 930,06612085,ltd,dissolved,82990,Administrative Services,2008-06-05,17.7,London,dormant
WH,Johnson & Taylor,01274236,ltd,active,18129,Manufacturing,1976-08-23,49.4,Middlesex,medium
CoastalMedi,Johnson & Taylor,01274236,ltd,active,18129,Manufacturing,1976-08-23,49.4,Middlesex,medium
Flex Associates 934,Johnson & Taylor,01274236,ltd,active,18129,Manufacturing,1976-08-23,49.4,Middlesex,medium
Manchester Systems,Vanguard Display,05607983,ltd,active,69202,Professional Services,2005-10-31,20.3,Hampshire,micro-entity
Swift Group,Express Labels,NI610849,ltd,active,58110,Information & Communication,2012-01-25,14.0,County Down,micro-entity
Belfast Print,SMF 940,07762493,ltd,active,90030,Arts & Entertainment,2011-09-05,14.4,Suffolk,total-exemption-full
Omega Works 942,Glasgow Works,09158316,ltd,active,74100,Professional Services,2014-08-01,11.5,Nottingham,total-exemption-full
ProInte,CentralEnte,16729297,ltd,active,"62020,62090,63110,63120",Information & Communication,2025-09-19,0.4,London,
Pacific Associates,Lee & Allen,11593620,ltd,active,"62020,90030",Information & Communication,2018-09-28,7.3,Kent,total-exemption-full
Quantum Display 957,AgileGrap,15891239,ltd,dissolved,56103,Accommodation & Food,2024-08-12,1.5,Durham,
Taylor & Green,ApexManu,03175885,ltd,active,74100,Professional Services,1996-03-21,29.9,Hertfordshire,full
Oxford International,Royal Works,15571890,ltd,active,"59111,82110,90010,90030",Information & Communication,2024-03-17,1.9,Wrexham,micro-entity
Swift Media,Vanguard Graphics,09588276,ltd,active,99999,International Organisations,2015-05-13,10.7,London,dormant
Brighton Packaging,Dynamic Communications,13862221,ltd,dissolved,74100,Professional Services,2022-01-20,4.0,England,null
Elite Services 968,Hall & Lee,01429920,ltd,dissolved,74990,Professional Services,1979-06-15,46.6,Lancashire,total-exemption-full
NK,LP 972,11787062,ltd,dissolved,"47190,47710,47799,47910",Wholesale & Retail,2019-01-24,7.0,London,null
King & Martin,Lewis & Baker 971,06008401,ltd,dissolved,49410,Transport & Storage,2006-11-23,19.2,Bristol,total-exemption-small
Leicester Systems 980,Norwich Group,06679897,ltd,active,"33190,70229",Manufacturing,2008-08-22,17.4,Leeds,micro-entity
CLJM,Brown & Thomas,06176000,ltd,dissolved,96090,Other Services,2007-03-21,18.9,Rayleigh,micro-entity
Zenith Productions 982,Quantum Holdings 146,07168072,ltd,active,90010,Arts & Entertainment,2010-02-24,15.9,London,micro-entity
Smith & Jones,YW,00169536,ltd,active,18129,Manufacturing,1920-08-10,105.5,Buckinghamshire,full
ApexGrou,Metro Packaging,04366207,ltd,active,68209,Real Estate,2002-02-04,24.0,Buckinghamshire,total-exemption-full
Brighton Technologies,Thomas & Walker,12176355,ltd,active,38220,Water & Waste,2019-08-27,6.4,West Midlands,micro-entity
Atlas Productions 990,Elite International,06847836,ltd,active,18129,Manufacturing,2009-03-16,16.9,"Morley, Leeds",micro-entity
NorthernWork 993,EasternMedi,02671401,ltd,active,62020,Information & Communication,1991-12-16,34.1,Oxon,total-exemption-full
Bristol Manufacturing,Express Associates,02332629,ltd,active,99999,International Organisations,1989-01-02,37.1,Reading,dormant
Premier Works 997,BetaComm,11887914,ltd,active,08110,Mining,2019-03-18,6.9,Oxfordshire,unaudited-abridged
QuantumCrea,NN,06801459,ltd,active,93290,Arts & Entertainment,2009-01-26,17.0,Cornwall,total-exemption-full
ApexIndu 001,BetaAsso 002,16655816,ltd,active,56290,Accommodation & Food,2025-08-18,0.5,Grays,
Leeds Creative 003,Thompson & Taylor 006,06973378,ltd,dissolved,9999,International Organisations,2009-07-27,16.5,Hertfordshire,dormant
Leeds Labels,Wilson & Thomas,02984490,ltd,active,68209,Real Estate,1994-10-28,31.3,West Yorkshire,group
SwiftDesi,Glasgow Design 014,04551036,ltd,dissolved,5243,Transport & Storage,2002-10-02,23.3,Abercynon,total-exemption-small
Norwich Services,VertexSolu 016,00435445,ltd,active,18129,Manufacturing,1947-05-19,78.7,,medium
Jones & Evans 017,EasternCrea,05208366,ltd,dissolved,74100,Professional Services,2004-08-17,21.5,Newcastle Upon Tyne,micro-entity
Quantum Manufacturing,Nova International,01598875,ltd,active,18129,Manufacturing,1981-11-20,44.2,Buckinghamshire,total-exemption-full
Matrix Solutions,Nova Works 023,10381979,ltd,active,41100,Construction,2016-09-17,9.4,Bridgwater,dormant
Martin & Taylor,Leicester Media,14808674,ltd,dissolved,46310,Wholesale & Retail,2023-04-17,2.8,Essex,
Atlas Services,Atlas Services,06952404,private-limited-guarant-nsc-limited-exemption,active,85590,Education,2009-07-04,16.6,Oxfordshire,small
VCW,MeridianGrap,00224715,ltd,active,18129,Manufacturing,1927-09-28,98.4,,full
EO,Agile Enterprises 326,11987721,ltd,liquidation,74100,Professional Services,2019-05-09,6.7,London,dormant
PacificDisp,Ultra Labels,03297669,ltd,active,99999,International Organisations,1996-12-31,29.1,Cheshire,dormant
Vanguard Solutions,Global Creative,08011471,ltd,dissolved,18129,Manufacturing,2012-03-29,13.8,Wiltshire,micro-entity
Agile Enterprises,Northern Display,03669512,ltd,active,18129,Manufacturing,1998-11-18,27.2,Kent,total-exemption-full
Oxford Display,Birmingham Systems 509,15237296,ltd,active,"84120,86900,87200",Public Admin,2023-10-26,2.3,Hertfordshire,total-exemption-full
Titan Holdings,Coastal Packaging,15830225,ltd,dissolved,47110,Wholesale & Retail,2024-07-10,1.6,Essex,
Lee & Hall,UrbanSyst,09452069,ltd,active,46499,Wholesale & Retail,2015-02-21,10.9,London,micro-entity
Express Marketing 043,Coastal Solutions,16058232,ltd,active,56101,Accommodation & Food,2024-11-04,1.2,Banstead,
Rapid Group,Vector Display 046,00511368,ltd,active,74909,Professional Services,1952-09-12,73.4,Liverpool,full
CR 047,Matrix Technologies,13494796,ltd,active,68209,Real Estate,2021-07-05,4.6,Northants,dormant
Nexus Productions,VectorPack,00119569,ltd,active,18129,Manufacturing,1912-01-08,114.1,Oxfordshire,total-exemption-full
Phoenix Solutions,Delta Signs,10531594,ltd,active,85100,Education,2016-12-19,9.1,Manchester,audit-exemption-subsidiary
Mitchell & Wood,Mega Manufacturing,08925312,ltd,active,63990,Information & Communication,2014-03-06,11.9,London,total-exemption-full
Superior Display,WesternSyst,03348489,ltd,active,"01500,52103,77310",Agriculture,1997-04-10,28.8,Cambridgeshire,total-exemption-full
Agile Services,Birmingham Services,06039742,ltd,active,74990,Professional Services,2007-01-02,19.1,Buckinghamshire,group
Pinnacle Productions,Omega Creative 682,15188568,ltd,active,52241,Transport & Storage,2023-10-04,2.3,Ilford,micro-entity
SRP 063,King & Edwards,14476534,private-limited-guarant-nsc,active,85590,Education,2022-11-10,3.2,Bromsgrove,total-exemption-full
Eastern Creative,YUYQ,04131610,ltd,active,32990,Manufacturing,2000-12-21,25.1,Oxfordshire,total-exemption-full
Swift Solutions,Urban Industries,11558310,ltd,active,96020,Other Services,2018-09-07,7.4,Nottingham,dormant
Mega Productions 070,Omega Productions,04399570,ltd,active,18129,Manufacturing,2002-03-20,23.9,Bedfordshire,total-exemption-full
Thomas & Wright,QZ,16984607,ltd,active,64209,Financial Services,2026-01-23,0.0,Oxfordshire,
MaxHold,Liverpool Labels,02746420,plc,dissolved,5261,Transport & Storage,1992-09-10,33.4,West Sussex,dormant
Vanguard Group 076,Wright & Johnson,NI065875,ltd,dissolved,,,2007-08-10,18.5,Co Down,null
BetaPrin,Global Technologies,07823006,ltd,active,62090,Information & Communication,2011-10-25,14.3,Wickford,dormant
Edinburgh Manufacturing,ExpressHold 082,16239522,ltd,active,70229,Professional Services,2025-02-10,1.0,Bury,
Leeds Associates 083,Stellar Design,04951251,ltd,active,93290,Arts & Entertainment,2003-11-03,22.3,Manchester,total-exemption-full
Sterling Packaging,Atlas Communications,02690071,ltd,active,27900,Manufacturing,1992-02-24,33.9,Oxon,micro-entity
Nova Packaging,Southampton Creative,02183201,ltd,active,73110,Professional Services,1987-10-26,38.3,Bedfordshire,total-exemption-full
Apex Labels,Matrix International,16237982,ltd,active,47910,Wholesale & Retail,2025-02-07,1.0,Thornton-Cleveleys,
Urban Manufacturing,Leicester Group 102,01792823,ltd,active,70100,Professional Services,1984-02-17,42.0,,group
ExpressGrap,Portsmouth Services 831,03552625,ltd,active,73200,Professional Services,1998-04-24,27.8,Cheltenham,full
Mega International,Max Manufacturing,13398620,ltd,active,"64999,66220,82990",Financial Services,2021-05-14,4.7,London,total-exemption-full
RoyalProd 108,AtlanticWork,07945938,ltd,active,18129,Manufacturing,2012-02-10,14.0,Bristol,total-exemption-full
Alpha Graphics,Portsmouth Productions,09534765,ltd,active,69201,Professional Services,2015-04-09,10.8,West Midlands,total-exemption-full
Harris & Wilson,Nottingham Creative,00435323,ltd,active,"41100,41201,41202",Construction,1947-05-16,78.7,Flintshire,full
Sterling Services 113,Titan Creative,05961797,ltd,dissolved,99999,International Organisations,2006-10-10,19.3,Cheshire,dormant
Bath Labels 114,Matrix Holdings,07292672,ltd,dissolved,99999,International Organisations,2010-06-23,15.6,London,dormant
Beta Media,Green & Lee 120,03742725,ltd,active,55900,Accommodation & Food,1999-03-29,26.9,South Yorkshire,total-exemption-full
Precision Packaging,Leicester Marketing,04517207,ltd,active,74100,Professional Services,2002-08-22,23.4,Solihull,total-exemption-full
Swift Productions 121,Lewis & Walker,16349690,ltd,active,96020,Other Services,2025-03-28,0.9,Rotherham,
Birmingham Associates,CentralLabe,15719451,ltd,active,"41202,98000",Construction,2024-05-14,1.7,London,
Southampton Graphics 125,Jackson & Clarke 126,06946022,ltd,active,74100,Professional Services,2009-06-27,16.6,Hampshire,total-exemption-full
Jones & Lewis 127,Leicester Manufacturing,06838865,ltd,active,47990,Wholesale & Retail,2009-03-06,16.9,Hampshire,total-exemption-full
Matrix Associates,Premier Systems,01808921,ltd,active,32990,Manufacturing,1984-04-16,41.8,South Yorkshire,full
Gamma Signs,EasternPart,07805542,ltd,active,62020,Information & Communication,2011-10-11,14.3,Warrington,micro-entity
Harris & Martin,TTW,02025221,ltd,dissolved,82990,Administrative Services,1986-06-04,39.7,Suffolk,total-exemption-small
EliteSolu,Oxford Partners,10090645,ltd,active,47990,Wholesale & Retail,2016-03-30,9.8,Bolton,dormant
Alpha Marketing,FJMK,15372002,ltd,active,62020,Information & Communication,2023-12-28,2.1,Harrogate,micro-entity
SwiftComm,Clarke & Taylor 144,00362051,ltd,active,18129,Manufacturing,1940-06-26,85.6,Nottingham,full
Urban Graphics,Express Works,02360971,ltd,active,"18129,58190",Manufacturing,1989-03-14,36.9,Rugby,total-exemption-full
QR,Atlantic Marketing,06820147,ltd,active,82990,Administrative Services,2009-02-16,17.0,Birmingham,micro-entity
York Packaging,Bristol Marketing,07706056,ltd,active,47770,Wholesale & Retail,2011-07-15,14.6,Oxfordshire,full
Southampton International 165,Newcastle Industries,04182223,ltd,active,41202,Construction,2001-03-19,24.9,Oxfordshire,dormant
Southern Solutions,PrecisionSolu,06117325,ltd,active,69201,Professional Services,2007-02-20,19.0,,micro-entity
Royal Creative,MatrixMark 107,04496269,ltd,active,18129,Manufacturing,2002-07-26,23.5,West Midlands,total-exemption-full
Lewis & Lee,Glasgow Labels,16945656,ltd,active,85510,Education,2026-01-06,0.1,West Yorkshire,
ProMedi,Nexus Technologies,11041946,ltd,active,18129,Manufacturing,2017-11-01,8.3,"Harewood, Leeds",micro-entity
Swift Associates,Flex Productions 175,03323507,ltd,active,46460,Wholesale & Retail,1997-02-25,28.9,Worcestershire,total-exemption-full
York Media,Stellar International,12162130,ltd,active,78109,Administrative Services,2019-08-19,6.5,St. Albans,dormant
Newcastle Marketing,Ultra Packaging,04954829,ltd,active,18129,Manufacturing,2003-11-06,22.2,Cambridgeshire,medium
KOX,Smith & Hughes,14236324,ltd,dissolved,74909,Professional Services,2022-07-15,3.6,Greater Manchester,null
Delta Works,Delta Solutions,03887942,ltd,active,18129,Manufacturing,1999-12-02,26.2,Lancashire,micro-entity
Agile Labels,ANS,07866068,ltd,active,70100,Professional Services,2011-11-30,14.2,Wrexham,total-exemption-full
TNA,TRSK,IP23429R,industrial-and-provident-society,converted-closed,,,,,,
Central Associates 191,Liverpool Media 192,01356653,ltd,active,25990,Manufacturing,1978-03-09,47.9,Oxfordshire,full
Glasgow International,ZMT,07342445,ltd,active,86900,Health & Social,2010-08-11,15.5,Herts,micro-entity
TP 197,CVBD 200,08114337,ltd,active,47782,Wholesale & Retail,2012-06-21,13.6,Hartlepool,total-exemption-full
Jones & Thompson 198,StellarWork,08086335,ltd,active,"58190,68209",Information & Communication,2012-05-29,13.7,Abingdon,total-exemption-full
Birmingham Communications,NexusMedi,07543874,private-limited-guarant-nsc-limited-exemption,active,"85200,85310",Education,2011-02-25,14.9,Thatcham,full
Ultra Holdings 202,Superior Partners 203,SC645421,ltd,dissolved,18129,Manufacturing,2019-10-25,6.3,Glasgow,null
Brown & Roberts,Zenith Display,09039190,private-limited-guarant-nsc,dissolved,82990,Administrative Services,2014-05-14,11.7,London,
Superior Services,Coastal Marketing 168,14587692,ltd,active,"62020,73110,73120",Information & Communication,2023-01-12,3.1,Norfolk,micro-entity
Atlantic Associates,YIAR 211,16984161,ltd,active,58190,Information & Communication,2026-01-23,0.0,West Sussex,
Nexus Signs,EasternLabe,06953519,ltd,dissolved,7487,Professional Services,2009-07-06,16.6,Hertfordshire,dormant
GBV,NorthernManu,04476623,ltd,active,18129,Manufacturing,2002-07-03,23.6,Oxon,total-exemption-full
Brown & Baker,Norwich Works,02889674,ltd,active,82990,Administrative Services,1994-01-20,32.0,Bristol,total-exemption-full
Central Signs 220,WCV,08765169,ltd,liquidation,58190,Information & Communication,2013-11-07,12.2,Wiltshire,
Pacific Packaging,VRM,06160652,ltd,liquidation,18129,Manufacturing,2007-03-14,18.9,Wiltshire,
Beta Graphics 224,Quantum Productions,15396008,private-limited-guarant-nsc,dissolved,20302,Manufacturing,2024-01-08,2.1,Thornton Heath,
AgilePrin 226,BetaCrea,09009641,ltd,active,41100,Construction,2014-04-24,11.8,Clacton-On-Sea,micro-entity
Pro Industries,Ultra Marketing,14713139,ltd,active,62020,Information & Communication,2023-03-07,2.9,West Drayton,total-exemption-full
Bath Industries 232,Brighton Systems,08924307,ltd,active,99999,International Organisations,2014-03-05,11.9,Surrey,dormant
Martin & Thompson,Matrix Communications,16661293,ltd,active,62090,Information & Communication,2025-08-20,0.5,London,
Sterling Marketing,Premier Industries 240,00977181,ltd,active,74990,Professional Services,1970-04-15,55.8,Surrey,dormant
Coastal Graphics,Oxford Holdings,SC264202,ltd,dissolved,68320,Real Estate,2004-03-01,21.9,Midlothian,total-exemption-small
Global Productions 243,Premier Technologies 244,04448644,ltd,dissolved,17230,Manufacturing,2002-05-28,23.7,Hampshire,total-exemption-full
Brown & Thompson,Oxford Communications,04159077,ltd,active,70100,Professional Services,2001-02-13,25.0,London,full
Vertex Enterprises,HNFR,12942664,ltd,active,41100,Construction,2020-10-12,5.3,Sheffield,micro-entity
VVV,Brighton International 250,16346061,ltd,active,82110,Administrative Services,2025-03-26,0.9,Lancashire,
Global Design,Max Group,12900730,ltd,dissolved,"59200,70229",Information & Communication,2020-09-23,5.4,Herts,micro-entity
OJC 253,PremierCrea,07382124,ltd,active,"47599,95240",Wholesale & Retail,2010-09-21,15.4,Northamptonshire,total-exemption-full
GammaTech,Leicester Enterprises,03729135,ltd,active,18129,Manufacturing,1999-03-09,26.9,West Yorkshire,full
Brown & Morgan,Zenith Solutions,04522685,ltd,active,32990,Manufacturing,2002-08-30,23.4,London,total-exemption-full
Chester International,Norwich Signs,OC325199,llp,dissolved,,,2007-01-05,19.1,London,null
Cambridge Marketing,Premier Print,13871608,ltd,active,96020,Other Services,2022-01-25,4.0,West Midlands,total-exemption-full
Plymouth Creative,Quantum Productions,15396008,private-limited-guarant-nsc,dissolved,20302,Manufacturing,2024-01-08,2.1,Thornton Heath,
Walker & Green 267,HZ 268,04467262,ltd,dissolved,9234,Arts & Entertainment,2002-06-21,23.6,Bedfordshire,total-exemption-small
UDP,EliteAsso,IP00188C,industrial-and-provident-society,converted-closed,,,,,,
Evans & Evans 272,Leeds Graphics,06906926,ltd,dissolved,9999,International Organisations,2009-05-15,16.7,Warwickshire,dormant
Roberts & Jackson,HorizonSyst,02729733,ltd,active,18129,Manufacturing,1992-07-08,33.6,West Midlands,dormant
Ultra Creative,ZEOQ,03307964,ltd,active,22290,Manufacturing,1997-01-27,29.0,Tyne & Wear,total-exemption-full
Morgan & Wright,Cambridge Productions,08646112,ltd,active,62090,Information & Communication,2013-08-12,12.5,Co Durham,micro-entity
KTVH,VectorPrin,12361188,ltd,active,26701,Manufacturing,2019-12-12,6.1,Oxfordshire,small
GVRH 282,PrimeManu,08677663,ltd,active,45112,Wholesale & Retail,2013-09-05,12.4,Gwent,micro-entity
GammaComm,Zenith Holdings,15812332,ltd,active,43290,Construction,2024-07-01,1.6,Newport,dormant
Nottingham Marketing,VectorSyst,03946778,ltd,active,99999,International Organisations,2000-03-14,25.9,,dormant
KUR 289,Morgan & Baker,15835073,ltd,active,18129,Manufacturing,2024-07-12,1.6,Ross-On-Wye,
Martin & Wright,DynamicTech,01952292,ltd,liquidation,31090,Manufacturing,1985-10-03,40.3,Leeds,total-exemption-full
Morgan & Lewis,LZB,11310619,ltd,dissolved,"71121,74100",Professional Services,2018-04-16,7.8,Kings Langley,micro-entity
NJLO,National Systems 298,04844762,ltd,active,18129,Manufacturing,2003-07-24,22.5,Shropshire,total-exemption-full
DI,SouthernDisp 300,08384648,ltd,active,95240,Other Services,2013-02-01,13.0,Essex,micro-entity
Oxford Packaging,Apex Communications,05842945,ltd,active,90020,Arts & Entertainment,2006-06-12,19.6,Blackpool,total-exemption-full
Nexus Services,Thomas & Jackson,12629395,ltd,active,41100,Construction,2020-05-28,5.7,Shrewsbury,micro-entity
Delta Enterprises,Oxford Works,06537558,ltd,active,49410,Transport & Storage,2008-03-18,17.9,Kent,total-exemption-full
CI,YR 310,08022354,ltd,active,18129,Manufacturing,2012-04-05,13.8,West Midlands,total-exemption-full
Superior Works,Titan Works,12655358,ltd,active,58142,Information & Communication,2020-06-09,5.7,Bristol,dormant
Vector Marketing,PrecisionManu,15101545,ltd,active,47910,Wholesale & Retail,2023-08-29,2.4,Tenterden,micro-entity
Leeds Associates,Premier Works 572,14914458,ltd,active,46900,Wholesale & Retail,2023-06-05,2.7,London,micro-entity
TitanIndu,Birmingham Solutions,01342107,ltd,dissolved,46160,Wholesale & Retail,1977-12-02,48.2,Birmingham,total-exemption-small
